,Team 1,University
0,Liiv Sandbrum,University of Birmingham
1,STAGS,University of St Andrews
2,Team 5,
3,McDonalds Esports,Lancaster University
4,UEA Bluejays 2023,University of East Anglia
5,Kited By Scuttle,University of York
6,Match #90903 Winner,
7,Aston Esports 2,Aston University
8,The Orangutang Gang,Loughborough University
9,Liverpool party,University of Liverpool
10,Caster Minions,Lancaster University
11,Team 23,
12,UoM Thirds,University of Manchester
13,Chicken Broth,University of Manchester
14,DerbyCraptors,University of Derby
15,Leeds Never Give Up,University of Leeds
16,Match #90903 Loser,
17,NUEL Nottingham Team,University of Nottingham
18,Broken Stopwatch,University of Leeds
19,Watt Wyverns,Heriot-Watt University
20,Apokalypsis,University of Huddersfield
21,BCU Gaming,Birmingham City University
22,Match #90912 Winner,
23,Pier Thressure,Aberystwyth University
24,Army of the...,University of Birmingham
25,Bussin Bussin On...,University of Hull
26,Abrahams Beard,University of Lincoln
27,DMU Drakes,De Montfort University
28,Team 57,
29,Poro Penguins,Nottingham Trent University
30,Glasgow...,University of Glasgow
31,Sultans Esports,Lancaster University
32,My Beautiful Dark...,Lancaster University
33,AstonApesLOLY,Aston University
34,Match #90912 Loser,
35,Next Generation...,Staffordshire University
36,Saigon Buffalo,Durham University
37,Keele Diff,Keele University
38,DMU Team 1,De Montfort University
39,Aston Esports 3,Aston University
40,Salford Kings UwU,University of Salford
41,Durham Dubs,Durham University
42,QUB Cardinal,Queen's University Belfast
43,Match #90922 Winner,
44,LongDong Silvers,University of York
45,Fortnite Battle Pass,University of Lincoln
46,StAGS II,University of St Andrews
47,Hallam Inters 2023,Sheffield Hallam University
48,Team Pocket Yummi...,Liverpool John Moores University
49,Team 99,
50,Team TeamO,Nottingham Trent University
51,noob team,Teesside University
52,SHUUUUUUUUUU,Sheffield Hallam University
53,DeMoted,De Montfort University
54,ORNNly Fans Esport,University of Leeds
55,Match #90922 Loser,
56,VI AYE MAN,Newcastle University
57,Northumbria...,Northumbria University
58,Staffs Silver...,Staffordshire University
59,Bust a nott,University of Nottingham
60,League Rehab,Edge Hill University
61,Lincoln League,University of Lincoln
62,Spreadsheet Esports,University of Leeds
63,Rubber Turkeys,Nottingham Trent University
64,Bangor Team 1,Bangor University
65,Team 131,
66,Gromp Gang,Durham University
67,Abertay Alliance,University of Abertay Dundee
68,NottVeryGood,University of Nottingham
69,Keele Commodores,Keele University
70,Leeds Beckett Bears,Leeds Beckett University
71,Red Ryze Conspiracy,Loughborough University
72,Team 145,
73,Watt Wyverns Team 3,Heriot-Watt University
