,Team 1,University
0,Durham Defenders,Durham University
1,UoMT1,University of Manchester
2,KFC,Lancaster University
3,Always preferred...,University of Leeds
4,Team 9,
5,samj1046,De Montfort University
6,The Staffordshire...,Staffordshire University
7,Ladcaster,Lancaster University
8,Keele Krakens,Keele University
9,white foxxx,University of Glasgow
10,Leeds Never Give Up,University of Leeds
11,Ho Chi Minh City...,University of Sheffield
12,DerbyCraptors,University of Derby
13,ICUU,University of Sheffield
14,Queens Finest,University of Lincoln
15,Liiv Sandbrum,University of Birmingham
16,Tree House,Staffordshire University
17,Grizzly Glaswegians,University of Glasgow
18,Watt Wyverns,Heriot-Watt University
19,Leicester Lobsters,University of Leicester
20,Kited By Scuttle,University of York
21,Team 43,
22,Caster Minions,Lancaster University
23,The Orangutang Gang,Loughborough University
24,STAGS,University of St Andrews
25,Apokalypsis,University of Huddersfield
26,UEA Bluejays 2023,University of East Anglia
27,The Top Fillosophy,Newcastle University
28,UoM Thirds,University of Manchester
29,McDonalds Esports,Lancaster University
30,Abrahams Beard,University of Lincoln
31,Liverpool party,University of Liverpool
32,StefSucksLOL,University of Strathclyde
33,Chicken Broth,University of Manchester
34,Broken Stopwatch,University of Leeds
35,Team Pocket Yummi...,Liverpool John Moores University
36,Sultans Esports,Lancaster University
37,Emotional Damage...,Heriot-Watt University
38,Bussin Bussin On...,University of Hull
39,NUEL Nottingham Team,University of Nottingham
40,Aston Esports 2,Aston University
41,Hallam Inters 2023,Sheffield Hallam University
42,The Hecarim Special,Sheffield Hallam University
43,noob team,Teesside University
44,Next Generation...,Staffordshire University
45,BCU Gaming,Birmingham City University
46,Divine Sunderland...,University of Sunderland
47,DMU Team 1,De Montfort University
48,Goth Girls Ruined...,Nottingham Trent University
49,Keele Diff,Keele University
50,AstonApesLOLY,Aston University
51,Team 103,
53,Poro Penguins,Nottingham Trent University
54,WE LOSE EVERY WEEK,Loughborough University
55,Fortnite Battle Pass,University of Lincoln
56,SHUUUUUUUUUU,Sheffield Hallam University
57,My Beautiful Dark...,Lancaster University
58,3p Rammus,Nottingham Trent University
59,Blue Ice Peppers,University of Manchester
60,Army of the...,University of Birmingham
61,UoB LoL Team 3,University of Birmingham
62,VI AYE MAN,Newcastle University
63,Bust a nott,University of Nottingham
64,Staffs Silver...,Staffordshire University
65,Salford Kings UwU,University of Salford
66,QUB Cardinal,Queen's University Belfast
67,Salford Lions and...,University of Salford
68,Saigon Buffalo,Durham University
69,Bangor Team 1,Bangor University
70,Rubber Turkeys,Nottingham Trent University
71,DMU Drakes,De Montfort University
72,LongDong Silvers,University of York
73,Watt Wyverns Team 3,Heriot-Watt University
74,Alvin and the Jacks,University of York
75,Glasgow...,University of Glasgow
76,Pier Thressure,Aberystwyth University
77,The Washington...,Nottingham Trent University
78,Northumbria...,Northumbria University
79,UoL Blue,University of Liverpool
80,NottVeryGood,University of Nottingham
81,DeMoted,De Montfort University
82,Team 165,
84,Leeds Beckett Bears,Leeds Beckett University
85,Gromp Gang,Durham University
86,Crab Wranglers,Newcastle University
87,Plastic 4,University of Abertay Dundee
88,Abertay Alliance,University of Abertay Dundee
89,Bussin Bussin On...,University of Hull
90,ORNNly Fans Esport,University of Leeds
91,Red Ryze Conspiracy,Loughborough University
92,Spreadsheet Esports,University of Leeds
93,StAGS II,University of St Andrews
94,Durham Dubs,Durham University
95,League Rehab,Edge Hill University
96,Team TeamO,Nottingham Trent University
97,Keele Commodores,Keele University
98,Durham...,Durham University
99,UEA Owls,University of East Anglia
100,Team 201,
101,Aston Esports 3,Aston University
102,Bangor Team 2,Bangor University
103,icu3,University of Sheffield
104,Watt Wyverns team 4,Heriot-Watt University
