,Team 1,University
0,Grey Warwick,University of Warwick
1,EXE Machina,University of Exeter
2,Bristol Bottoms,University of Bristol
3,The Germs,University of Kent
4,UCL Exodus,University College London
5,Kent Cuties,University of Kent
6,APT,London School of Economics
7,Jheigar,University of Southampton
8,Kent Berserkes,University of Kent
9,Roehampton Fairies,Roehampton University
10,SVGE Team 2,University of Southampton
11,Definitely Not...,University of Warwick
12,Westminster...,University of Westminster
13,Alis acrack addicts,University of Bath
14,Demolition,University of Hertfordshire
15,Cov Uni,Coventry University
16,Team 33,
17,Cardiff Cavaliers,Cardiff University
18,bg,Queen Mary University of London
19,Cardiff Crusaders,Cardiff University
20,OwOxford OwOwls,Oxford University
21,UAL Unicorns,University of the Arts London
22,Rios Piri Piri...,University of Warwick
23,KCL Balls,King's College London
24,Team Diff,Brunel University
25,FLX Phoenix,FXU (Falmouth &amp; Exeter Student's Union)
26,Imperial Bonobos,Imperial College London
27,Jays Jaybirds,University of Bath
28,Reading Knightsss,University of Reading
29,Height Impaired...,King's College London
30,Big Bad Warwick,University of Warwick
31,2nd Week Worlds FNC,King's College London
32,Nothing Like Come...,University of Warwick
33,Firefang Warwick,University of Warwick
34,Rift Clappers,University of Sussex
35,CES Dragons,"City, University of London"
36,Kamikwasi,University of Cambridge
37,number 1 victory...,Coventry University
38,SUPP DIFF,Roehampton University
39,Team 79,
40,Stand Our Ground,Bournemouth University
41,Bath Salts,University of Bath
42,Bristol Boosted,University of Bristol
43,Plymouth...,University of Plymouth
44,Bristol Bamboozles,University of Bristol
45,Surrey Stags,University of Surrey
46,SVGE Team 4,University of Southampton
47,South Kensington...,Imperial College London
48,Team Tapped,University of Kent
49,UCL DragonZeroElo,University College London
50,ESSEX TEAM 1,University of Essex
51,Lprio,Brunel University
52,Rift Assassins,University of Sussex
53,Reading baddest...,University of Reading
54,Yuu and Mi,Royal Veterinary College
55,Bath PeaShooters,University of Bath
56,Oxford Integrals,Oxford University
57,Feral Warwick,University of Warwick
58,UWE Sea Stags Black,University of the West of England
59,Plymouth...,University of Plymouth
60,Iron Swan Wings_ISW,Swansea University
61,Swansea Tempest,Swansea University
62,OBG Cassiopias boots,Oxford Brookes University
63,in your walls,University of Northampton
64,Surrey Wardens,University of Surrey
65,shush,King's College London
66,EXEperiencing Pain,University of Exeter
67,Southamptons...,University of Southampton
68,UWE Sea Stags,University of the West of England
69,Westminster...,University of Westminster
70,Team 141,
71,Jhinchester...,University of Winchester
72,Voidlings,King's College London
73,We Dont Care,Coventry University
74,Crazy Big Damage,University of Southampton
75,Surrely we wont lose,University of Surrey
76,Gray Warwick,University of Warwick
77,CES Hydras,"City, University of London"
78,Marauder Warwick,University of Warwick
79,Surreyender at 15,University of Surrey
80,BCU Underdogs,Birmingham City University
81,Cardiff Canaries,Cardiff University
82,SoloQMUL,Queen Mary University of London
83,Bournemouth Drakes,Bournemouth University
84,For Fun Warwick,University of Warwick
85,UWE Sea Stags Red...,University of the West of England
86,Swansea Little...,Swansea University
87,Iron Forged,University of Kent
88,Tech Park Tyrants,University of Chichester
89,Solent Crackheads,Southampton Solent University
90,EXEtension Cord,University of Exeter
91,Plymouth...,University of Plymouth
92,Portsmouth Poros,University of Portsmouth
93,Kent Goats,University of Kent
94,GrindSett,University of Hertfordshire
95,Cardiff Conquerors,Cardiff University
96,UAL UNICORNS 2,University of the Arts London
97,Team 195,
98,Simperial,Imperial College London
99,Plymouth...,University of Plymouth
100,Essex Team 2,University of Essex
101,UWL Wyverns,University of West London
102,Pot of Greed,University of South Wales
103,BUilt Different,Bournemouth University
104,Okay,University of Reading
105,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
106,Cambridge Ravens B,University of Cambridge
107,OrnnHub,"Royal Holloway, University of London"
108,Silver Warriors,Brunel University
109,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
110,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
111,UOG Contenders,University of Gloucestershire
112,The HardStucks,Kingston University
113,Team 227,
114,Team 1,King's College London
115,No Aim No Brain,University of Plymouth
116,Brighton T3,University of Brighton
