,Team 1,University
0,UCL Neanderthals,University College London
1,SuperCaliFragulistic,Glasgow Caledonian University
2,Back Six,Queen's University Belfast
3,Lboro Lightning 1,Loughborough University
4,Half Natty Head...,Lancaster University
5,podbotsasdas,podbotsasdas
6,Team Jump Spec,University of Southampton
7,Bristol Baked Beens,University of Bristol
8,KCL Lions,King's College London
9,UoN Archers,University of Nottingham
10,Warwick Wrestling...,University of Warwick
11,Warwick Furries,University of Warwick
12,Newclapped,Newcastle University
13,Durham Defenders,Durham University
14,Surrey Stags,University of Surrey
15,BrExeter,University of Exeter
16,Team 33,
17,Imperial Immigrants,Imperial College London
18,Sussex Sharks Black,University of Sussex
19,Warwick Disciples,University of Warwick
20,UEA Bluejays,University of East Anglia
21,UWE Sea Stags,University of the West of England
22,Cardiff Crusaders,Cardiff University
23,aimbridge,University of Cambridge
24,Swansea Storm Blue,Swansea University
25,HaVi,Imperial College London
26,Watt Wyverns,Heriot-Watt University
27,Keele Krakens Red,Keele University
28,Ulster Unicorns,Ulster University
29,Plymouth...,University of Plymouth
30,Strathers,University of Strathclyde
31,Qmul CS,Queen Mary University of London
32,The Hertfordshire...,University of Hertfordshire
33,York 6th Team,University of York
34,City Esports,"City, University of London"
35,Bath Boomers,University of Bath
36,Swansea Storm Black,Swansea University
37,Falmouth Phoenix A,FXU (Falmouth &amp; Exeter Student's Union)
38,Walkman,University College London
39,Glamorgan Giants,University of South Wales
40,Leeds Gryphons,University of Leeds
41,Trent Thunder,Nottingham Trent University
42,Team 85,
43,Sheffield Steel...,University of Sheffield
44,UCL Asteroids22,University College London
45,GreggsGangsters,Newcastle University
46,Aston Archangels...,Aston University
47,Manchester Team 2,University of Manchester
48,Leeds 2 Electric...,University of Leeds
49,Portsmouth Paladins,University of Portsmouth
50,_MiP_,University of Portsmouth
51,Durham Blaze,Durham University
52,UoB Esports Team 1,University of Birmingham
53,Elo Recovery Service,University of Southampton
54,Rush Bee,University of Manchester
55,Edinburgh Eclipse,University of Edinburgh
56,Kindred Reborn,University of Kent
57,UEA Kingfishers,University of East Anglia
58,Bangor Team 1,Bangor University
59,Falmouth Phoenix B,FXU (Falmouth &amp; Exeter Student's Union)
60,All Good Gaming,King's College London
61,BCU TBD,Birmingham City University
62,basically_global,University of Lincoln
63,Bath Plugs,University of Bath
64,Warwick A Manger,University of Warwick
65,Cardiff Crusaders V2,Cardiff University
66,KCL Cubs,King's College London
67,LSU team 2...,Loughborough University
68,Wouldnt want to BU,Bournemouth University
69,Brunel Baddies,Brunel University
70,Chi Challengers,University of Chichester
71,Northumbria Vikings,Northumbria University
72,Keele Krakens Blue,Keele University
73,LSE Leviathans CS,London School of Economics
74,KCL TaoTie,King's College London
75,Sussex Sharks Green,University of Sussex
76,Triple Accredited,Lancaster University
77,Team 155,
78,Aberdeen Aimstars,University of Aberdeen
79,Warwick Chipmunks,University of Warwick
80,King and Kentry,University of Kent
81,The Flashbang Foxes,University of Liverpool
82,Kebab Rush B...,Coventry University
83,UoG G Spotters,University of Gloucestershire
84,Strapybara,University of Warwick
85,Hallam Hydras,Sheffield Hallam University
86,UWE Sea Stags Black,University of the West of England
87,Plymouth...,University of Plymouth
88,Durham Dingles,Durham University
89,Sussex Sharks Blue,University of Sussex
90,RoyalBearsCSGO,"Royal Holloway, University of London"
91,Strathers B,University of Strathclyde
92,York Fourth,University of York
93,RejExeter,University of Exeter
94,Kent Win a Single...,University of Kent
95,Salford Lions,University of Salford
96,UoB Esports Team 2,University of Birmingham
97,York Vikings,University of York
98,Nott Nott Whos There,University of Nottingham
99,Toronto Syrup...,University of Warwick
100,UWE Sea Stags Red,University of the West of England
101,T3HE,University of Leeds
102,FiggleBottom,University of Warwick
103,Mr Lancastic Very...,Lancaster University
104,Peeker Capaldi,University of Nottingham
105,Surreys_Sloppy_Se...,University of Surrey
106,brunel baddies in...,Brunel University
107,Team 215,
108,MMU Minotaurs 2nd,Manchester Metropolitan University
109,Swansea Storm Red,Swansea University
110,CS Roe,Roehampton University
111,Reading Knights 1st,University of Reading
112,UWL Wyverns,University of West London
113,SalfordShurikens,University of Salford
114,Cardiff Peek,Cardiff University
115,Portsmouth Panthers,University of Portsmouth
116,Brist0l Bakas,University of Bristol
117,Soton Stinkers,University of Southampton
118,Barn Boys,University of Leeds
119,CES Hydras,"City, University of London"
120,Colossal Cubs,"Royal Holloway, University of London"
121,Team 243,
122,Teesside Leftovers,Teesside University
123,Durham Disasters,Durham University
