,Team 1,University
0,UCL Instant Reflex,University College London
1,Warwick Duckz,University of Warwick
2,UWE Game Gamers,University of the West of England
3,LancVortex,Lancaster University
4,Team 9,
5,QUBloodseekers,Queen's University Belfast
6,Bullring of Health,University of Birmingham
7,Blood Bath,University of Bath
8,Team ACHILLESGOD...,Durham University
9,Sheffield Samurai,University of Sheffield
10,Imperial Bonobos,Imperial College London
11,Sharkie,University of Sussex
12,Southampton or...,University of Southampton
13,Hallam Hamsters,Sheffield Hallam University
14,UCL Alacrity,University College London
15,KCL Lions 2022,King's College London
16,Swansea Storm The...,Swansea University
17,Team 35,
18,UEA BlueJays,University of East Anglia
19,Warwick Ducklings,University of Warwick
20,UoN Gorillas,University of Northampton
21,Burning Iguanas,University of York
22,Liverpool Arctic...,University of Liverpool
23,B R I Z B O Y S,University of Bristol
24,Blink Hexeter,University of Exeter
25,Sheffield Shockwave,University of Sheffield
26,Trent Thunder Dota 2,Nottingham Trent University
27,LancHurricane,Lancaster University
28,Glasgow Glizzies,University of Glasgow
29,Sand Kings...,King's College London
30,Lincoln Dota,University of Lincoln
31,Cockatrices,"City, University of London"
32,Staffordshire Sixers,Staffordshire University
33,Team 67,
34,Royal Bears,"Royal Holloway, University of London"
35,Swasnea Storm...,Swansea University
36,Watt Wyverns,Heriot-Watt University
37,Cambridge Dota,University of Cambridge
38,Sheffield Slugs,University of Sheffield
39,Cardiff Crusaders,Cardiff University
40,St Andrews Dota 2,University of St Andrews
41,Loughborough Dota,Loughborough University
42,Staffordshire...,Staffordshire University
43,Team 87,
44,UWE Sea Stags RED,University of the West of England
45,Plymouth Leviathans,University of Plymouth
